Policy ID,Purpose of the Security Policy,Scope of the Security Policy,Policy,Procedure,Roles and Responsibilities,Risk and Sanction,Incident Response,Creation Date,Last Updated,Status
POL-170,Acceptable resource use,All business units,Quarterly risk assessments,Minimum 12-character passwords,Admins for updates,Unmitigated risks,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-171,Asset protection,All business units,Incident reporting protocol,Document risk findings quarterly,Management for risk assessments,Unmitigated risks,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-172,Incident communication,All employees and contractors,Password complexity rules,Apply updates weekly,Management for risk assessments,Damage control for delays,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-173,Acceptable resource use,All systems and data,Quarterly risk assessments,Minimum 12-character passwords,Management for risk assessments,Disciplinary actions,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-174,Asset protection,All systems and data,Access control implementation,Report incidents in 24 hours,Response Team for incidents,Access revocation for violations,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-175,Acceptable resource use,All network devices,Regular updates and patches,Document access requests,IT Security Team for access control,Security breach penalties,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-176,Risk assessment framework,All employees and contractors,Incident reporting protocol,Apply updates weekly,Employees for password compliance,Unmitigated risks,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-177,Define information boundaries,All business units,Quarterly risk assessments,Report incidents in 24 hours,IT Security Team for access control,Unmitigated risks,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-178,Asset protection,All information incidents,Access control implementation,Apply updates weekly,Response Team for incidents,Unmitigated risks,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-179,Define information boundaries,All systems and data,Access control implementation,Minimum 12-character passwords,Employees for password compliance,Unmitigated risks,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-180,Asset protection,All network devices,Password complexity rules,Document risk findings quarterly,Employees for password compliance,Security breach penalties,Notify affected parties,2024-09-24,2024-09-24,Active
POL-181,Define information boundaries,All employees and contractors,Regular updates and patches,Minimum 12-character passwords,Employees for password compliance,Disciplinary actions,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-182,Acceptable resource use,All systems and data,Access control implementation,Document access requests,IT Security Team for access control,Security breach penalties,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-183,Acceptable resource use,All systems and data,Password complexity rules,Apply updates weekly,Management for risk assessments,Security breach penalties,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-184,Define information boundaries,All information incidents,Access control implementation,Minimum 12-character passwords,IT Security Team for access control,Disciplinary actions,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-185,Incident communication,All information incidents,Password complexity rules,Document risk findings quarterly,IT Security Team for access control,Security breach penalties,Document all incidents,2024-09-24,2024-09-24,Active
POL-186,Acceptable resource use,All business units,Regular updates and patches,Document risk findings quarterly,IT Security Team for access control,Access revocation for violations,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-187,Incident communication,All information incidents,Access control implementation,Apply updates weekly,Admins for updates,Security breach penalties,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-188,Incident communication,All business units,Password complexity rules,Document access requests,Management for risk assessments,Security breach penalties,Notify affected parties,2024-09-24,2024-09-24,Active
POL-189,Incident communication,All employees and contractors,Access control implementation,Apply updates weekly,IT Security Team for access control,Security breach penalties,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-190,Define information boundaries,All business units,Regular updates and patches,Apply updates weekly,Employees for password compliance,Unmitigated risks,Notify affected parties,2024-09-24,2024-09-24,Inactive
POL-191,Incident communication,All systems and data,Quarterly risk assessments,Minimum 12-character passwords,IT Security Team for access control,Damage control for delays,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-192,Incident communication,All systems and data,Password complexity rules,Minimum 12-character passwords,IT Security Team for access control,Damage control for delays,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-193,Risk assessment framework,All systems and data,Quarterly risk assessments,Minimum 12-character passwords,Response Team for incidents,Security breach penalties,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-194,Define information boundaries,All systems and data,Access control implementation,Report incidents in 24 hours,IT Security Team for access control,Disciplinary actions,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-195,Acceptable resource use,All network devices,Regular updates and patches,Report incidents in 24 hours,Management for risk assessments,Unmitigated risks,Notify affected parties,2024-09-24,2024-09-24,Inactive
POL-196,Risk assessment framework,All systems and data,Password complexity rules,Document risk findings quarterly,Admins for updates,Disciplinary actions,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-197,Acceptable resource use,All business units,Password complexity rules,Document access requests,Admins for updates,Access revocation for violations,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-198,Incident communication,All information incidents,Regular updates and patches,Apply updates weekly,IT Security Team for access control,Security breach penalties,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-199,Acceptable resource use,All information incidents,Password complexity rules,Document risk findings quarterly,IT Security Team for access control,Disciplinary actions,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-200,Asset protection,All systems and data,Regular updates and patches,Minimum 12-character passwords,Admins for updates,Disciplinary actions,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-201,Risk assessment framework,All information incidents,Quarterly risk assessments,Document access requests,IT Security Team for access control,Access revocation for violations,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-202,Asset protection,All systems and data,Quarterly risk assessments,Document risk findings quarterly,Admins for updates,Access revocation for violations,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-203,Define information boundaries,All business units,Incident reporting protocol,Document risk findings quarterly,Admins for updates,Access revocation for violations,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-204,Asset protection,All systems and data,Incident reporting protocol,Minimum 12-character passwords,Management for risk assessments,Security breach penalties,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-205,Asset protection,All network devices,Incident reporting protocol,Minimum 12-character passwords,IT Security Team for access control,Access revocation for violations,Document all incidents,2024-09-24,2024-09-24,Inactive
